YearWeek,temp_mean_C,temp_max_C,temp_min_C,rain_sum,sunshine_duration,daylight_duration,wind_speed_max,et0_evapotranspiration,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya,risk_level
2022-W02,26.371,31.4,22.3,9.2,70.41349444444444,81.53144722222223,24.2,28.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-W02,24.329,30.8,19.7,6.0,64.70695833333333,82.08142777777778,18.0,26.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W02,26.114,29.2,23.6,14.4,70.99516944444444,82.6540138888889,23.6,27.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W02,26.3,28.6,23.8,13.5,64.28468611111111,81.42623888888889,20.0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-W02,21.6495,24.2,17.299999999999997,17.1,67.43625,82.26396666666668,13.5,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022-W02,25.4,30.7,22.4,31.0,61.29466388888889,81.92466666666667,16.0,23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W02,26.186,32.0,22.7,12.0,68.27430277777778,81.87235277777776,19.0,27.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2022-W02,26.2,29.1,23.6,26.6,66.05379166666667,81.68897222222222,21.6,24.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-W02,25.129,30.2,21.2,13.0,64.28334166666667,81.61025555555555,18.8,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022-W03,24.386,30.5,18.2,5.4,75.89059722222223,82.33706388888889,17.1,31.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,24.771,31.3,18.9,0.6,75.5149611111111,81.97215833333334,19.1,31.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,21.6495,26.8,17.299999999999997,13.9,72.741275,82.4341,14.6,28.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,24.957,28.8,19.4,9.6,75.46406944444445,82.1913,20.1,30.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,26.057,33.1,18.2,5.8,75.91513055555555,82.45834444444444,22.3,35.52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,25.343,29.2,20.7,8.9,76.372175,82.74881388888889,14.6,30.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,26.457,33.7,18.1,5.4,75.80587222222222,82.40985,19.7,36.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,26.557,32.2,21.0,1.7,76.08046388888889,82.72463333333333,24.2,36.46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,25.514,28.9,20.7,2.1,75.09688055555556,81.50735555555555,23.2,31.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,25.386,28.5,19.9,9.5,75.86577777777778,82.2885,21.6,31.21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,25.457,32.8,18.4,14.7,76.34969166666667,82.57947222222222,17.2,32.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
