YearWeek,WeekStartDate,WeekEndDate,Cases,temp_mean_C,temp_max_C,temp_min_C,precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),District_ampara,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya
2022-W02,2022-01-10,2022-01-16,97,23.7,29.3,19.0,15.5,15.5,236493.75,295774.93,20.9,26.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,49,25.114,31.5,20.4,8.4,8.4,237687.54,295774.93,15.3,27.51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,1,25.571,29.7,22.3,7.5,7.5,233868.98,292944.89,20.7,24.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,157,25.786,32.3,21.1,7.3,7.3,235380.05,295493.14,21.1,28.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,28,26.371,31.4,22.3,9.2,9.2,253488.58,293513.21,24.2,28.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,8,24.329,30.8,19.7,6.0,6.0,232945.05,295493.14,18.0,26.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,37,26.114,29.2,23.6,14.4,14.4,255582.61,297554.45,23.6,27.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,1,26.3,28.6,23.8,13.5,13.5,231424.87,293134.46,20.0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,5,15.043,19.9,10.4,17.1,17.1,242770.5,296150.28,13.5,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,9,25.4,30.7,22.4,31.0,31.0,220660.79,294928.8,16.0,23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
